2023-01-11 09:18:32,521 -+- PEER15_LOGGER -+- INFO -+- Start logging
2023-01-11 09:18:32,522 -+- PEER15_LOGGER -+- INFO -+- Network simulator activated, running at ('127.0.0.1', 34401).
2023-01-11 09:18:35,224 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-11 09:18:35,230 -+- PEER15_LOGGER -+- DEBUG -+- sending a type1 pkt to ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-11 09:18:35,632 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-11 09:18:35,633 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48001) via spiffy, seq0, ack0, pkt_len36
2023-01-11 09:18:35,638 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type2 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack0, pkt_len36
2023-01-11 09:18:35,638 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq1, ack0, pkt_len16
2023-01-11 09:18:35,640 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48003) via spiffy, seq0, ack0, pkt_len36
2023-01-11 09:18:35,929 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-11 09:18:35,943 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type0 pkt from ('127.0.0.1', 48008) via spiffy, seq0, ack0, pkt_len36
2023-01-11 09:18:36,059 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack1, pkt_len16
2023-01-11 09:18:36,060 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq2, ack0, pkt_len1040
2023-01-11 09:18:36,061 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq3, ack0, pkt_len1040
2023-01-11 09:18:36,481 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack2, pkt_len16
2023-01-11 09:18:36,501 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack3, pkt_len16
2023-01-11 09:18:36,502 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq4, ack0, pkt_len1040
2023-01-11 09:18:36,503 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq5, ack0, pkt_len1040
2023-01-11 09:18:36,503 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq6, ack0, pkt_len1040
2023-01-11 09:18:36,503 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq7, ack0, pkt_len1040
2023-01-11 09:18:36,923 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack4, pkt_len16
2023-01-11 09:18:36,945 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack5, pkt_len16
2023-01-11 09:18:36,964 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack6, pkt_len16
2023-01-11 09:18:36,985 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack7, pkt_len16
2023-01-11 09:18:36,986 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq8, ack0, pkt_len1040
2023-01-11 09:18:36,986 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq9, ack0, pkt_len1040
2023-01-11 09:18:36,987 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq10, ack0, pkt_len1040
2023-01-11 09:18:36,987 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq11, ack0, pkt_len1040
2023-01-11 09:18:36,987 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq12, ack0, pkt_len1040
2023-01-11 09:18:36,988 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq13, ack0, pkt_len1040
2023-01-11 09:18:36,988 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq14, ack0, pkt_len1040
2023-01-11 09:18:36,988 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq15, ack0, pkt_len1040
2023-01-11 09:18:37,406 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack8, pkt_len16
2023-01-11 09:18:37,424 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack9, pkt_len16
2023-01-11 09:18:37,442 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack10, pkt_len16
2023-01-11 09:18:37,460 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack11, pkt_len16
2023-01-11 09:18:37,477 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack12, pkt_len16
2023-01-11 09:18:37,495 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack13, pkt_len16
2023-01-11 09:18:37,512 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack14, pkt_len16
2023-01-11 09:18:37,530 -+- PEER15_LOGGER -+- DEBUG -+- Receiving a type4 pkt from ('127.0.0.1', 48005) via spiffy, seq0, ack15, pkt_len16
2023-01-11 09:18:37,531 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq16, ack0, pkt_len1040
2023-01-11 09:18:37,531 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq17, ack0, pkt_len1040
2023-01-11 09:18:37,532 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq18, ack0, pkt_len1040
2023-01-11 09:18:37,532 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq19, ack0, pkt_len1040
2023-01-11 09:18:37,533 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq20, ack0, pkt_len1040
2023-01-11 09:18:37,533 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq21, ack0, pkt_len1040
2023-01-11 09:18:37,533 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq22, ack0, pkt_len1040
2023-01-11 09:18:37,534 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq23, ack0, pkt_len1040
2023-01-11 09:18:37,534 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq24, ack0, pkt_len1040
2023-01-11 09:18:37,534 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq25, ack0, pkt_len1040
2023-01-11 09:18:37,535 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq26, ack0, pkt_len1040
2023-01-11 09:18:37,535 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq27, ack0, pkt_len1040
2023-01-11 09:18:37,535 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq28, ack0, pkt_len1040
2023-01-11 09:18:37,536 -+- PEER15_LOGGER -+- DEBUG -+- sending a type3 pkt to ('127.0.0.1', 48005) via spiffy, seq29, ack0, pkt_len1040
